鹽埕區,9107,21094,"+3,833"
鼓山區,44512,113422,"+16,156"
左營區,57508,158116,"+17,979"
楠梓區,61389,151524,"+23,508"
三民區,120311,281281,"+49,991"
新興區,17452,43397,"+6,603"
前金區,9437,23704,"+3,511"
苓雅區,57069,142733,"+21,386"
前鎮區,66816,157294,"+27,492"
旗津區,10658,23954,"+4,669"
小港區,55361,129597,"+22,962"
鳳山區,117795,294083,"+44,274"
林園區,25028,57617,"+10,624"
大寮區,39474,94987,"+15,727"
大樹區,15318,35719,"+6,388"
大社區,13320,29282,"+5,999"
仁武區,32787,73973,"+14,294"
鳥松區,16662,38963,"+6,921"
岡山區,32084,79113,"+12,306"
橋頭區,16254,32578,"+8,109"
燕巢區,10618,25354,"+4,279"
田寮區,2552,6425,+946
阿蓮區,10559,23841,"+4,599"
路竹區,18054,42432,"+7,446"
湖內區,10929,25097,"+4,655"
茄萣區,10600,25515,"+4,221"
永安區,4914,11699,"+1,989"
彌陀區,6173,15918,"+2,193"
梓官區,14032,30272,"+6,464"
旗山區,11399,30807,"+3,697"
美濃區,9749,34112,"+1,221"
六龜區,2880,10903,+154
甲仙區,1223,5224,–83
杉林區,2733,10238,+173
內門區,3863,12517,+734
茂林區,60,1520,–320
桃源區,201,3342,–635
那瑪夏區,209,2334,–375
